var maze=["s   h",
"     ",
"     ",
"     ",
"h   t"];
# Hash state store
Using: [HashVisitedStateStore stateCount:0]
# Warmup
# Warmup done (35777)
# maze size, repetition, time (msec), states, edges, memory
5, 01, 2046, 27, 80, 17039639712
5, 02, 2508, 27, 80, 17081685320
5, 03, 2241, 27, 80, 17069108080
5, 04, 2148, 27, 80, 17081690456
5, 05, 2191, 27, 80, 17056522408
5, 06, 2181, 27, 80, 17056526248
5, 07, 2186, 27, 80, 17069109992
5, 08, 2170, 27, 80, 17056524912
5, 09, 2161, 27, 80, 17069113112
5, 10, 2214, 27, 80, 17056524560
7, 01, 8127, 51, 168, 17039754632
7, 02, 8363, 51, 168, 17056533608
7, 03, 8002, 51, 168, 17069117576
7, 04, 8123, 51, 168, 17069117696
7, 05, 8123, 51, 168, 17039769216
7, 06, 8321, 51, 168, 17069125960
7, 07, 8227, 51, 168, 17056543560
7, 08, 8180, 51, 168, 17069127088
7, 09, 8319, 51, 168, 17039767736
7, 10, 8140, 51, 168, 17039767776
10, 01, 33478, 102, 360, 17056551424
10, 02, 34328, 102, 360, 17039771208
10, 03, 33325, 102, 360, 17039773168
10, 04, 33922, 102, 360, 17039773112
10, 05, 33909, 102, 360, 17056549880
10, 06, 34476, 102, 360, 17056550104
10, 07, 34207, 102, 360, 17069133744
10, 08, 33283, 102, 360, 17069134976
10, 09, 33263, 102, 360, 17056555376
10, 10, 33144, 102, 360, 17039776096
15, 01, 173609, 227, 840, 17039782760
15, 02, 181150, 227, 840, 17081727800
15, 03, 181763, 227, 840, 17039785264
15, 04, 192836, 227, 840, 17069144640
15, 05, 178646, 227, 840, 17081727552
15, 06, 181468, 227, 840, 17039784440
15, 07, 188126, 227, 840, 17069145896
15, 08, 191082, 227, 840, 17039785112
15, 09, 188900, 227, 840, 17039787504
15, 10, 185307, 227, 840, 17039785832
20, 01, 643465, 402, 1520, 17039798128
20, 02, 639710, 402, 1520, 17039796440
20, 03, 625764, 402, 1520, 17039795752
20, 04, 635809, 402, 1520, 17039795784
20, 05, 652380, 402, 1520, 17039795784
20, 06, 643017, 402, 1520, 17039798144
20, 07, 648807, 402, 1520, 17081739456
20, 08, 642075, 402, 1520, 17039795720
20, 09, 639863, 402, 1520, 17056573024
20, 10, 632704, 402, 1520, 17069161712
# Full state store
Using: [BThreadSnapshotVisitedStateStore visited:0]
# Warmup
# Warmup done (36248)
# maze size, repetition, time (msec), states, edges, memory
5, 01, 2077, 27, 80, 16959694648
5, 02, 2183, 27, 80, 16989055992
5, 03, 2233, 27, 80, 17001641056
5, 04, 2227, 27, 80, 16989104552
5, 05, 2173, 27, 80, 17014250672
5, 06, 2255, 27, 80, 16989083728
5, 07, 2279, 27, 80, 16989085440
5, 08, 2455, 27, 80, 16989077536
5, 09, 2413, 27, 80, 16989076072
5, 10, 2265, 27, 80, 17014240872
7, 01, 10324, 51, 168, 16655552664
7, 02, 9832, 51, 168, 16655551960
7, 03, 10763, 51, 168, 16630389080
7, 04, 10404, 51, 168, 16642952520
7, 05, 10540, 51, 168, 16642997208
7, 06, 9944, 51, 168, 16655589352
7, 07, 9694, 51, 168, 16601060880
7, 08, 10011, 51, 168, 16613658632
7, 09, 10157, 51, 168, 16642959808
7, 10, 11217, 51, 168, 16643060888
10, 01, 37696, 102, 360, 15255550784
10, 02, 37620, 102, 360, 15255456296
10, 03, 38255, 102, 360, 15268037672
10, 04, 37182, 102, 360, 15255418704
10, 05, 36821, 102, 360, 15226100296
10, 06, 37336, 102, 360, 15196849608
10, 07, 37324, 102, 360, 15226034560
10, 08, 38205, 102, 360, 15268047952
10, 09, 37077, 102, 360, 15255391232
10, 10, 37155, 102, 360, 15238733288
15, 01, 206025, 227, 840, 13194441152
15, 02, 190022, 227, 840, 13194448448
15, 03, 194727, 227, 840, 13194850952
15, 04, 192636, 227, 840, 13194890928
15, 05, 202602, 227, 840, 13195608928
15, 06, 180100, 227, 840, 7960618736
15, 07, 180672, 227, 840, 7961289256
15, 08, 174923, 227, 840, 7960112960
15, 09, 176238, 227, 840, 7960191480
15, 10, 178341, 227, 840, 7961209656
20, 01, 650375, 402, 1520, 12268204960
20, 02, 666151, 402, 1520, 12271244400
20, 03, 663683, 402, 1520, 12271714904
20, 04, 648181, 402, 1520, 12271539536
20, 05, 655680, 402, 1520, 12267224432
20, 06, 663359, 402, 1520, 12269528720
20, 07, 671322, 402, 1520, 12270367008
20, 08, 665140, 402, 1520, 12268319464
20, 09, 660905, 402, 1520, 12273071024
20, 10, 639981, 402, 1520, 12268753928
